timestamp,username,ip_address,country,status,attempts
2026-06-02 17:36:33,eevans,10.0.1.47,United States,success,1
2026-06-01 12:29:15,nball,10.0.1.22,United States,success,1
2026-06-01 10:56:26,hcook,10.0.1.62,United States,success,1
2026-06-01 14:12:06,scrandal,10.0.1.62,United States,success,1
2026-06-03 16:10:03,smanager,10.0.1.33,United States,success,1
2026-06-01 14:17:04,kchris,10.0.1.62,United States,success,1
2026-06-03 16:38:01,rgardan,10.0.1.71,United States,success,1
2026-06-03 13:27:38,smanager,10.0.1.71,Canada,success,1
2026-06-02 03:42:43,root,185.220.101.42,Russia,failed,19
2026-06-03 14:20:25,eevans,10.0.1.33,United States,success,1
2026-06-01 02:41:27,sysadmin,185.220.101.42,Russia,failed,10
2026-06-01 03:12:53,root,185.220.101.42,Russia,failed,12
2026-06-02 03:23:40,root,185.220.101.42,Russia,failed,18
2026-06-03 11:17:10,smanager,10.0.1.71,United States,success,1
2026-06-01 09:15:12,jhaslam,10.0.1.88,United States,success,1
2026-06-02 16:14:43,jgiboney,10.0.1.47,United States,success,1
2026-06-03 13:28:57,nball,10.0.1.22,United States,success,1
2026-06-03 17:12:45,scrandal,10.0.1.88,United States,success,1
2026-06-02 16:05:37,jgiboney,10.0.1.15,United States,success,1
2026-06-01 04:28:16,administrator,185.220.101.42,Russia,failed,20
2026-06-01 03:06:37,administrator,185.220.101.42,Russia,failed,17
2026-06-02 02:13:53,sysadmin,185.220.101.42,Russia,failed,5
2026-06-02 15:09:12,rgardan,10.0.1.15,Canada,success,1
2026-06-03 15:53:34,eevans,10.0.1.15,Canada,success,1
2026-06-01 11:55:25,hcook,10.0.1.71,United States,success,1
2026-06-03 12:38:13,jthompson,10.0.1.47,United States,success,1
2026-06-01 15:13:34,kchris,10.0.1.88,United States,success,1
2026-06-01 08:19:18,scrandal,10.0.1.62,United States,success,1
2026-06-02 16:55:38,rgardan,10.0.1.47,United States,success,1
2026-06-03 09:00:29,kchris,10.0.1.22,United States,success,1
2026-06-03 11:32:30,hcook,10.0.1.22,United States,success,1
2026-06-01 12:51:55,hcook,10.0.1.71,United States,success,1
